GRID ID,Year,Institution name,Group,# Academic - Total,# Academic - Women,%  Academic - Women
grid.431331.7,2020,Batchelor Institute of Indigenous Tertiary Education,Unaligned,24,21,87.5
grid.1014.4,2020,Flinders University,IRU,1000,601,60.1
grid.411958.0,2020,Australian Catholic University,Unaligned,792,469,59.22
grid.1043.6,2020,Charles Darwin University,IRU,281,164,58.36
grid.1018.8,2020,La Trobe University,IRU,1430,823,57.55
grid.1038.a,2020,Edith Cowan University,Unaligned,691,390,56.44
grid.449625.8,2020,Torrens University Australia,IHEA,280,156,55.71
grid.1023.0,2020,CQUniversity,RUN,797,444,55.71
grid.266886.4,2020,The University of Notre Dame Australia,Unaligned,565,312,55.22
grid.1011.1,2020,James Cook University,IRU,852,458,53.76
grid.462044.0,2020,Avondale University College,IHEA,54,29,53.7
grid.1034.6,2020,University of the Sunshine Coast,RUN,501,266,53.09
grid.1033.1,2020,Bond University,IHEA,311,165,53.05
grid.1031.3,2020,Southern Cross University,RUN,365,192,52.6
grid.1040.5,2020,Federation University Australia,RUN,408,213,52.21
grid.1039.b,2020,University of Canberra,IRU,487,252,51.75
grid.1022.1,2020,Griffith University,IRU,1609,829,51.52
grid.266842.c,2020,The University of Newcastle,Unaligned,1345,692,51.45
grid.1026.5,2020,University of South Australia,ATN,1269,649,51.14
grid.1021.2,2020,Deakin University,ATN,2121,1069,50.4
grid.1009.8,2020,University of Tasmania,Unaligned,1349,673,49.89
grid.1029.a,2020,Western Sydney University,IRU,1097,546,49.77
grid.1008.9,2020,The University of Melbourne,Go8,4730,2332,49.3
grid.1020.3,2020,The University of New England,RUN,569,279,49.03
grid.1025.6,2020,Murdoch University,IRU,629,305,48.49
grid.1048.d,2020,University of Southern Queensland,RUN,607,291,47.94
grid.1002.3,2020,Monash University,Go8,3692,1763,47.75
grid.1019.9,2020,Victoria University,Unaligned,578,275,47.58
grid.1013.3,2020,The University of Sydney,Go8,3660,1730,47.27
grid.1024.7,2020,Queensland University of Technology,Unaligned,2318,1070,46.16
grid.1032.0,2020,Curtin University,ATN,1420,651,45.85
grid.1037.5,2020,Charles Sturt University,RUN,1095,502,45.84
grid.1004.5,2020,Macquarie University,Unaligned,1466,667,45.5
grid.117476.2,2020,University of Technology Sydney,ATN,1682,757,45.01
grid.1012.2,2020,The University of Western Australia,Go8,1647,730,44.32
grid.1017.7,2020,RMIT University,ATN,1761,780,44.29
grid.1007.6,2020,University of Wollongong,Unaligned,1187,511,43.05
grid.1003.2,2020,The University of Queensland,Go8,3248,1382,42.55
grid.1005.4,2020,University of New South Wales,Go8,3252,1322,40.65
grid.1027.4,2020,Swinburne University of Technology,Unaligned,989,402,40.65
grid.1001.0,2020,The Australian National University,Go8,1940,787,40.57
grid.1010.0,2020,The University of Adelaide,Go8,1675,667,39.82
grid.431470.5,2020,University of Divinity,IHEA,160,52,32.5